질문	ㅈㅣㄹㅁㅜㄴ	국회법에 따라, 국회의원이 정부에 대하여 일정한 사항에 관하여 설명을 요구하고 그 의견을 묻는 일. 서면 질문의 경우 질문 요지서를 작성하여 의장에게 제출하면 의장은 이를 정부에 이송하고, 정부는 이 질문 요지서를 
의역	ㅇㅡㅣㅇㅕㄱ	의관(醫官)과 역관(譯官)을 아울러 이르는 말.
시치미	ㅅㅣㅊㅣㅁㅣ	1. 매의 주인을 밝히기 위하여 주소를 적어 매의 꽁지털 속에다 매어 둔 네모꼴의 뿔. ≒단장판. 2. 자기가 하고도 아니한 체, 알고도 모르는 체하는 태도.
날개	ㄴㅏㄹㄱㅏㅣ	윷판의 끝에서 넷째 자리. 곧 쨀밭에서 둘째 자리를 이른다.
점화	ㅈㅓㅁㅎㅗㅏ	내연 기관에서 실린더 안의 연료를 폭발시키기 위하여 가스체에 가열 또는 전기 불꽃을 접촉시킴. 또는 그런 일.
천식	ㅊㅓㄴㅅㅣㄱ	천한 자식이란 뜻으로, 남에게 자기 자식을 낮추어 이르는 말.
제외	ㅈㅓㅣㅇㅗㅣ	따로 떼어 내어 한데 헤아리지 않음.
한통	ㅎㅏㄴㅌㅗㅇ	찬 기운으로 인하여 아픈 것.
소다수	ㅅㅗㄷㅏㅅㅜ	=탄산수.
문학	ㅁㅜㄴㅎㅏㄱ	들어서 배움.
정면	ㅈㅓㅇㅁㅕㄴ	면사 방적에서, 소면기에서 나오는 길이와 폭이 일정한 면섬유.
안정	ㅇㅏㄴㅈㅓㅇ	여러 차례 대면하여 생기는 정.
헌법	ㅎㅓㄴㅂㅓㅂ	1. 국가 통치 체제의 기초에 관한 각종 근본 법규의 총체. 모든 국가의 법의 체계적 기초로서 국가의 조직, 구성 및 작용에 관한 근본법이며 다른 법률이나 명령으로써 변경할 수 없는 한 국가의 최고 법규이다. 2. 
용병	ㅇㅛㅇㅂㅕㅇ	용이 그려진 병풍.
화학	ㅎㅗㅏㅎㅏㄱ	학이 된다는 뜻으로, 사람이 죽는 것을 이르는 말.
현찰	ㅎㅕㄴㅊㅏㄹ	남의 살핌을 높여 이르는 말.
감정	ㄱㅏㅁㅈㅓㅇ	재판에 도움을 주기 위하여, 재판에 관련된 특정한 사항에 대하여 그 분야의 전문가가 의견과 지식을 보고하는 일.
큐피드	ㅋㅠㅍㅣㄷㅡ	로마 신화에 나오는 사랑의 신. 보통 나체에 날개가 달리고 활과 화살을 가진 아이 모습이다. 그리스 신화의 에로스에 해당한다.
인식	ㅇㅣㄴㅅㅣㄱ	일반적으로 사람이 사물에 대하여 가지는, 그것이 진(眞)이라고 하는 것을 요구할 수 있는 개념. 또는 그것을 얻는 과정.
변경	ㅂㅕㄴㄱㅕㅇ	1. 국경에서 일어나는 적의 침입 따위의 사변(事變)에 대한 경계. 2. 국경 지방에 적이 쳐들어왔다는 기별.
공식	ㄱㅗㅇㅅㅣㄱ	무료로 손님에게 음식을 먹이는 일.
쉬면	ㅅㅜㅣㅁㅕㄴ	부지런히 힘써 일함.
감동	ㄱㅏㅁㄷㅗㅇ	검푸른 눈동자.
간섭	ㄱㅏㄴㅅㅓㅂ	두 개 이상의 파(波)가 한 점에서 만날 때 합쳐진 파의 진폭이 변하는 현상. 음파(音波)에서는 굉음(轟音)이, 빛에서는 간섭무늬가 나타난다.
근신	ㄱㅡㄴㅅㅣㄴ	임금을 가까이에서 모시던 신하. ≒근습(近習)·근시 ·시신(侍臣).
대체	ㄷㅏㅣㅊㅓㅣ	=대체 계정.
그램	ㄱㅡㄹㅏㅣㅁ	미터법에 의한 무게의 단위. 1그램은 4℃의 물 1㎤의 질량이다. 기호는 g.
운전	ㅇㅜㄴㅈㅓㄴ	=귀함(貴函).
혼돈	ㅎㅗㄴㄷㅗㄴ	2. 하늘과 땅이 아직 나누어지기 전의 상태. ≒혼륜.
만화	ㅁㅏㄴㅎㅗㅏ	온갖 물품이나 재화.
작살	ㅈㅏㄱㅅㅏㄹ	베어서 죽임.
선회	ㅅㅓㄴㅎㅗㅣ	참선하는 모임.
신념	ㅅㅣㄴㄴㅕㅁ	임금의 생각 또는 걱정.
계단	ㄱㅕㅣㄷㅏㄴ	=달걀.
세계	ㅅㅓㅣㄱㅕㅣ	중국의 계세(契稅) 제도에서, 매매 거래의 쌍방에게 인계전(印契錢)을 징수한 관아에서 발행하여 교부하던 공증 증서. ≒인계(印契).
직전	ㅈㅣㄱㅈㅓㄴ	조선 시대에 시행한 사전(私田)의 하나. 현직 관료들에게 반급(頒給)하였으며, 원칙적으로 세습할 수 없었다.
경련	ㄱㅕㅇㄹㅕㄴ	한시(漢詩)의 율시(律詩)에서, 다섯째 구(句)와 여섯째 구를 아울러 이르는 말.
음성	ㅇㅡㅁㅅㅓㅇ	사람의 발음 기관을 통해 내는 구체적이고 물리적인 소리. 발화자와 발화시에 따라 다르게 나는 소리로서 자음과 모음으로 나뉘는 성질이 있다. ≒말소리.
숨길	ㅅㅜㅁㄱㅣㄹ	=기도(氣道).
급성	ㄱㅡㅂㅅㅓㅇ	2. 급한 성질. 또는 그 성질을 가진 사람.
전통	ㅈㅓㄴㅌㅗㅇ	나라에 길흉이 있을 때에 왕에게 바치는 보고문인 전문(箋文)을 넣던 통.
소원	ㅅㅗㅇㅜㅓㄴ	행정 관청의 위법 또는 부당한 처분으로 권리와 이익을 침해받을 때에, 그 상급 관청에 대하여 처분의 취소 또는 변경을 청구하는 일. 현재는 소원법이 폐지되고 그 대신 행정 심판법이 제정되어 소원이 행정 심판으로 바뀌
국경	ㄱㅜㄱㄱㅕㅇ	나라의 경사. ≒방경(邦慶).
랜드	ㄹㅏㅣㄴㄷㅡ	남아프리카 공화국의 화폐 단위. 기호는 R.
통신	ㅌㅗㅇㅅㅣㄴ	=통령(通靈).
탄약	ㅌㅏㄴㅇㅑㄱ	=탄환(彈丸).
한대	ㅎㅏㄴㄷㅏㅣ	=푸대접.
강연	ㄱㅏㅇㅇㅕㄴ	임금에게 경서(經書)를 강론하던 일. 아침의 강연은 조강(朝講), 낮의 강연은 주강(晝講), 저녁의 강연은 석강(夕講)이라 하였다.
면상	ㅁㅕㄴㅅㅏㅇ	=국숫상.
