가비차	ㄱㅏㅂㅣㅊㅏ	'커피'의 잘못.
가사리	ㄱㅏㅅㅏㄹㅣ	1. =우뭇가사리. 2. =풀가사리.
가색	ㄱㅏㅅㅏㅣㄱ	쌀이나 보리, 밀 따위의 주식이 되는 곡물에 의거하여 경영하는 농업. '곡식 농사'로 순화.
가생	ㄱㅏㅅㅏㅣㅇ	한 집안의 생계.
가소사	ㄱㅏㅅㅗㅅㅏ	우스운 일. 또는 웃음거리가 될 만한 일.
가쇄	ㄱㅏㅅㅗㅏㅣ	조선 시대에, 죄인의 목에 씌우던 나무 칼과 목이나 발목에 채우던 쇠사슬. 또는 그것을 써서 행하던 형벌. 장죄(杖罪) 이상의 죄인에게 신체의 자유를 구속하고 고통을 주기 위한 것이었다.
가수부	ㄱㅏㅅㅜㅂㅜ	상용로그 값의 가수(假數) 부분.
가수요	ㄱㅏㅅㅜㅇㅛ	2. 단기 차익을 목적으로 주식을 매입하는 일. 일반적으로 이런 일이 많으면 장래의 주가가 불안하다고 본다. ≒가수 .
가스로	ㄱㅏㅅㅡㄹㅗ	가스를 태워서 나는 열을 이용하여 물질을 데우거나 녹이는 노(爐). 화학 실험이나 시금술에 쓴다.
가스사	ㄱㅏㅅㅡㅅㅏ	방적한 직후 가스 불꽃 속을 빠른 속도로 통과하여 잔털을 태워 매끈한 광택이 나게 한 실. ≒가스실(gas-) ·주란사실.
가스유	ㄱㅏㅅㅡㅇㅠ	1. =경유 . 2. =경유 .
가액	ㄱㅏㅇㅏㅣㄱ	잘 보려고 이마에 손을 얹는다는 뜻으로, 사람을 몹시 기다림을 이르는 말.
가야고	ㄱㅏㅇㅑㄱㅗ	'가야금'의 잘못.
가어사	ㄱㅏㅇㅓㅅㅏ	예전에, 가짜로 어사 행세를 하던 사람.
가오리	ㄱㅏㅇㅗㄹㅣ	가오릿과의 바닷물고기를 통틀어 이르는 말. 몸은 가로로 넓적한 마름모 모양이고 꼬리가 긴 근해어이다. 노랑가오리, 살홍어, 전기가오리, 홍어 따위가 있다. ≒분어(□魚)·요어(□魚)·해요어(海□魚).【가오리≪동의보감
가왕	ㄱㅏㅇㅗㅏㅇ	가짜 임금.
가우르	ㄱㅏㅇㅜㄹㅡ	=인도들소.
가원	ㄱㅏㅇㅜㅓㄴ	길가에 만들어 놓은 작은 공원이나 꽃밭 또는 잔디밭 따위를 통틀어 이르는 말.
가월	ㄱㅏㅇㅜㅓㄹ	음력 3월을 달리 이르는 말. ≒희월(喜月).
가유치	ㄱㅏㅇㅠㅊㅣ	구속 영장의 집행을 받은 피고인이나 피의자를 목적지까지 호송하는 도중에, 필요에 따라 가장 가까운 교도소에 임시로 유치하는 일.
가이드	ㄱㅏㅇㅣㄷㅡ	
가이아	ㄱㅏㅇㅣㅇㅏ	그리스 신화에 나오는 대지의 여신. 카오스에서 태어나 자신이 만든 천신(天神) 우라노스의 아내가 되어 티탄을 낳았다. 로마 신화에서는 텔루스라는 이름으로 숭배한다. ≒게(Ge).
가자미	ㄱㅏㅈㅏㅁㅣ	넙칫과와 붕넙칫과의 넙치가자미, 동백가자미, 참가자미, 목탁가자미, 줄가자미 따위를 통틀어 이르는 말. 몸이 납작하여 타원형에 가깝고, 두 눈은 오른쪽에 몰려 붙어 있으며 넙치보다 몸이 작다. ≒가어(加魚)·접어(□
가젤	ㄱㅏㅈㅓㅣㄹ	솟과의 하나. 사지가 가늘고 암수 모두 테가 있는 하프(harp) 모양의 뿔이 있다. 건조한 지역에서 사는데 아프리카, 시리아, 이란, 인도, 몽골 등지에 분포한다.
가조기	ㄱㅏㅈㅗㄱㅣ	배를 갈라 넓적하게 펴서 말린 조기. ≒건석어 ·백상(白□)·부염석어·상어(□魚) .
가조수	ㄱㅏㅈㅗㅅㅜ	=대추나무 시집보내기.
가조시	ㄱㅏㅈㅗㅅㅣ	=가조시간.
가주거	ㄱㅏㅈㅜㄱㅓ	임시로 삶. 또는 그렇게 사는 곳.
가주서	ㄱㅏㅈㅜㅅㅓ	
가주소	ㄱㅏㅈㅜㅅㅗ	어떤 행위를 한 사람이 그 행위와 관련하여 주소 대신으로 정한 임시 장소. '임시 주소'로 순화.
가주어	ㄱㅏㅈㅜㅇㅓ	일부 언어에서, 문장 구조의 완비성을 기하기 위하여 설정하는 형식적 주어. 가주어를 쓰는 대표적인 언어로는 영어가 있다.
가지기	ㄱㅏㅈㅣㄱㅣ	정식 혼인을 하지 않고 다른 남자와 사는 과부나 이혼녀. ≒가직(家直).
가지도	ㄱㅏㅈㅣㄷㅗ	항공사진을 이용하여 간단한 선으로 나타낸 지도.
가차사	ㄱㅏㅊㅏㅅㅏ	가짜 차사.
가차자	ㄱㅏㅊㅏㅈㅏ	=가차 .
가차하	ㄱㅏㅊㅏㅎㅏ	벼슬아치를 정원 외에 더 임명하던 일.
가책	ㄱㅏㅊㅏㅣㄱ	몹시 심하게 꾸짖음.
가초노	ㄱㅏㅊㅗㄴㅗ	임시로 뽑아서 부리는 노비.
가쾌	ㄱㅏㅋㅗㅏㅣ	
가택	ㄱㅏㅌㅏㅣㄱ	
가투표	ㄱㅏㅌㅜㅍㅛ	투표자의 적법성에 문제가 있는 경우, 일단 투표권을 부여한 후 그 효력을 나중에 결정하는 투표. 우리나라에는 없는 제도이다.
가포교	ㄱㅏㅍㅗㄱㅛ	가짜 포교.
